Department,DepartmentCleaned
DIVISION OF MEDICINE,medicine
Geological Seminary,geological seminary
Locic,locic
SOCIALISM,socialism
Lab.,lab.
IDMISTRY,idmistry
Teachers College,teachers college
Division of Engineering,engineering
History of Law,history law
Astronomy and Geodesy,astronomy and geodesy
Physical Training,physical training
Division of Medicine,medicine
Germian,germian
Metallurgy and Industrial Chemistry,metallurgy and industrial chemistry
un,un
Div. of Engineering,div. engineering
Teacher's College,teacher's college
Foods and Sanitation,foods and sanitation
EDUCATION: EDUCATIONAL ADMINISTRATION,education: educational administration
Account,account
Manual Training,manual training
METALLURGY AND INDUSTRIAL CHEMISTRY,metallurgy and industrial chemistry
Metalurgy,metalurgy
Teachers' College,teachers' college
MINING,mining
IBSEN,ibsen
METALLURGY,metallurgy
"Jourses designed for upperclassmen, but which may be taken by graduates","jourses designed for upperclassmen, but which may be taken by graduates"
Physiography,physiography
Mining and Ore Treatment,mining and ore treatment
Coal Mining and Handling,coal mining and handling
Old Norse,old norse
Sanitary Engr.,sanitary engr.
HYD,hyd
"History, American","history, american"
Bookkeeping,bookkeeping
METEOROLOGY,meteorology
MACHINE SHOP,machine shop
Class,class
Secretarial,secretarial
MECHANICAL AND ELECTRICAL ENGINEERING,mechanical and electrical engineering
Anatomy & Cell Biology,anatomy & cell biology
Business & Vocational Education,business & vocational education
CDis,cdis
HYGIENE AND SANITATION,hygiene and sanitation
BIOCHEMISTRY & MOLECULAR BIOLOGY,biochemistry & molecular biology
Child Study,child study
Lab,lab
"Economics, Political Science and Accounting","economics, political science and accounting"
"ECONOMICS, POLITICAL SCIENCE AND ACCOUNTING","economics, political science and accounting"
Railway Mechanical Engineering,railway mechanical engineering
A & S,a & s
LANGUAGE AND LITERATURE,language and literature
"Mining, Metallurgy, and Industrial Chemistry","mining, metallurgy, and industrial chemistry"
GHEMISTRY,ghemistry
Lib,lib
"MINING, METALLURGY, AND INDUSTRIAL CHEMISTRY","mining, metallurgy, and industrial chemistry"
MOSIG,mosig
Economics and Business,economics and business
NEWMAN FOUNDATION,newman foundation
MINING AND METALLURGY,mining and metallurgy
School of Communication,school communication
TEAM,team
Integrated Studies,integrated studies
Anthropology (Anth),anthropology (anth)
TL,tl
Ag M&Sys,ag m&sys
"Educational Studies: Humanities, Science","educational studies: humanities, science"
Vet,vet
ChBE,chbe
HumanNtr,humanntr
Therapy,therapy
Fm&HuDv,fm&hudv
Slavic Literature in English Translation,slavic literature in english translation
Foreign Language and Literature,foreign language and literature
Ceramic En,ceramic en
Human Development And Family Science,human development and family science
MolGen,molgen
CivilEn,civilen
EVO,evo
FABEng,fabeng
"Evolution, Ecology and Organismal Biology","evolution, ecology and organismal biology"
CPHR,cphr
FdScTe,fdscte
ArtsCol,artscol
WeldEng,weldeng
Biomed Comm,biomed comm
Recreation Resources Program,recreation resources program
Topics in Journalism and Mass Communication,topics in journalism and mass communication
Instructional Design and Technology,instructional design and technology
Physical Activity and Education,physical activity and education
GEC/LAR,gec/lar
Water Quality and Environmental,water quality and environmental
Livestock,livestock
txtl&clo,txtl&clo
Flight Lab,flight lab
U 4,u 4
U 2,u 2
Slavic Lang. and Lit.,slavic lang. and lit.
Agricultural Economics/Agricultural Education,agricultural economics/agricultural education
Medical Record Administration/Medical,medical record administration/medical
City and Regional Planning/Civil Engineering,city and regional planning/civil engineering
Home,home
Clinical Dental,clinical dental
Japanese/Jewish Studies/Journalism,japanese/jewish studies/journalism
Poultry Science/Preventive Medicine,poultry science/preventive medicine
English/Entomology,english/entomology
Lab Sci,lab sci
Greek/Health Education,greek/health education
E. Asian Lang. and Lit.,e. asian lang. and lit.
Management of Agricultural,management agricultural
History/History of Art,history/history art
Law/Linguistics,law/linguistics
Biolog,biolog
Radiologic Technology Division,radiologic technology division
Aviation/Biochemistry,aviation/biochemistry
Physiology/Plant Pathology,physiology/plant pathology
Geography/Geology and Mineralogy,geography/geology and mineralogy
Methods of Astronomical,methods astronomical
Office Procedures,office procedures
Slavic Lanquages and Literatures,slavic lanquages and literatures
U 1,u 1
Horticulture/Hospital and Health Services,horticulture/hospital and health services
Operations Planning and Control,operations planning and control
Accting and Mgt. Infor. Sys./Admin. Sci./Aer,accting and mgt. infor. sys./admin. sci./aer
Journalism/Judai,journalism/judai
MedLbS,medlbs
Advanced Computing Center for the Arts and Design,advanced computing center for the arts and design
Geodetic Sciences,geodetic sciences
Horticultural Technology,horticultural technology
"Molecular Virology, Immunology, and Med","molecular virology, immunology, and med"
Welding Technology,welding technology
CRPlan,crplan
Environmental Molecular Sciences,environmental molecular sciences
Accour,accour
AlliMed,allimed
BusFin,busfin
MENR,menr
"Ecology, Evolution, and Organismal Biology","ecology, evolution, and organismal biology"
Topics in Journalism and Mass,topics in journalism and mass
Agricultur,agricultur
Mole,mole
Foreign Lang,foreign lang
Methods of Quantitative Analysis,methods quantitative analysis
Food Service,food service
FPPT,fppt
Modern Literary Arabic,modern literary arabic
Global Politics,global politics
Ethics and Public Policy,ethics and public policy
PubHlth,pubhlth
RespTher,respther
Group Studies in Nuclear Engineering,group studies in nuclear engineering
Optom.,optom.
Psychol.,psychol.
LANDSCAPE ARC,landscape arc
Language G,language g
Commercial Transactions,commercial transactions
Engineering Drawing,engineering drawing
Engineering of Agricultural,engineering agricultural
Acc.,acc.
"Agricultural, Env","agricultural, env"
on,on
Arts and Hum,arts and hum
Naval Sci,naval sci
Ind. Eng.,ind. eng.
Business Administration: Marketing & Logistics,business administration: marketing & logistics
"Arts and Humanities, Visual and Performing Arts","arts and humanities, visual and performing arts"
Business Administratio,business administratio
Landscape Arch,landscape arch
Anim Sci,anim sci
MINERALOGY,mineralogy
CLASSICAL LANGUAGES AND LITERATURE,classical languages and literature
Bus Org,bus org
NATIONAL SECURITY POLICY STUDIES,national security policy studies
BOTANY AND PLANT PATHOLOGY,botany and plant pathology
Geodelic Science,geodelic science
Alli Med,alli med
"Agricultural, Environmental, and Development","agricultural, environmental, and development"
A6,a6
INTERNATIONAL STUDIES,international studies
EV,ev
CLARTS,clarts
Physic,physic
"Agricultural, Envir","agricultural, envir"
"Food, Ag","food, ag"
Computer Technology in the Arts,computer technology in the arts
"Evolution, Ecology, and Organismal","evolution, ecology, and organismal"
Bus-Mktg,bus-mktg
Agr Eco,agr eco
Ed Policy and Leadership,ed policy and leadership
"Agricultural, Environmental, and Dev","agricultural, environmental, and dev"
UG,ug
DAIRY SCIENCES,dairy sciences
HSM,hsm
East Asian Languages and Literature,east asian languages and literature
Educational Services,educational services
Dairy Sciences,dairy sciences
Asian L&L,asian l&l
Physical Activity and Edu,physical activity and edu
Aeronautical and Astronautical Engin,aeronautical and astronautical engin
FAM RES M,fam res m
Mgmt Sci,mgmt sci
PHILOSOPH,philosoph
Obstetric and Gynecologic,obstetric and gynecologic
Special Group Studies,special group studies
Biochem.,biochem.
WUSIC,wusic
OTOLARYNGOLOGY,otolaryngology
NUSIC,nusic
OPHTHALMOLOGY,ophthalmology
Russ.,russ.
Unit Operations in Processing,unit operations in processing
GI,gi
Aero. S.,aero. s.
Ag Econ,ag econ
Photog,photog
Nutrition and Dairy Science,nutrition and dairy science
Agricultural Finance,agricultural finance
Sales,sales
OBSTETRICS AND GYNECOLOGY,obstetrics and gynecology
Biology/Zoology,biology/zoology
Welding Eng,welding eng
UCOL,ucol
Agri-Industry Organization and Public,agri-industry organization and public
Government Finance,government finance
Instructional Systems,instructional systems
Mine,mine
"Women's, Gender and Sexuality Studies","women's, gender and sexuality studies"
Language Education,language education
Educational Policy,educational policy
ConSysM,consysm
RurlSoc,rurlsoc
Surveying and Mapping,surveying and mapping
Education Studies,education studies
Greece,greece
Envir,envir
Accounting and Management Information Sys,accounting and management information sys
RespThr,respthr
Biological Chemistry and Pharmacology,biological chemistry and pharmacology
Knowlton School of Architecture,knowlton school architecture
ConSci,consci
Brewing Science,brewing science
OccTher,occther
RadSci,radsci
omics,omics
Agricultural and Environmental Sciences,agricultural and environmental sciences
ReligStds,religstds
Aviatn,aviatn
Agricultural and Applied Economics,agricultural and applied economics
AED Econ,aed econ
can-American and African Studies,can-american and african studies
Business Administration: Marketing and Logistics,business administration: marketing and logistics
Geographv,geographv
Physical A,physical a
Aeronautical and Astronautical E,aeronautical and astronautical e
Envs,envs
Master of Business Administration,master business administration
EdTL,edtl
nmunication Design,nmunication design
Physical Activity and E,physical activity and e
Business Admi,business admi
Edu T&L,edu t&l
Accounting and Management Infor,accounting and management infor
HSRA,hsra
and Human Resources,and human resources
Army ROTC Department,army rotc department
Chinese Language,chinese language
ces,ces
Matsc&en,matsc&en
Animal Science Department,animal science department
Rehabilitation Services,rehabilitation services
"Agricultural, Environmer","agricultural, environmer"
Forest Sci,forest sci
Sph/hrng,sph/hrng
Elec and Cmptr Enq,elec and cmptr enq
Elec and Cmptr Eng,elec and cmptr eng
HNFM,hnfm
FSRM,fsrm
Wom Std,wom std
Family Res Mgmt,family res mgmt
Accting,accting
Human Health,human health
Materials Science and Enqineering,materials science and enqineering
Politic Sc,politic sc
Medical Kinesiology,medical kinesiology
Agri-business and Agricultural Applications,agri-business and agricultural applications
Crop and Turf Science,crop and turf science
UAI,uai
Arabic and Islamic Studies,arabic and islamic studies
French and Romance Studies,french and romance studies
Agric. Eng.,agric. eng.
Hith Edu,hith edu
Textiles |,textiles |
Ed-SC&MA,ed-sc&ma
Statistical Analysis of Time,statistical analysis time
Acounting,acounting
Curriculum and Foundations,curriculum and foundations
Ed-Devel,ed-devel
Ed-C&F,ed-c&f
Man-Machine Systems,man-machine systems
Jrn,jrn
Engineering Aec,engineering aec
Hosp Admin,hosp admin
ECI,eci
Ag. Soc.,ag. soc.
Pub Admin,pub admin
Labor and Government,labor and government
Anesthetic,anesthetic
Prosthodontics,prosthodontics
Black Community Development,black community development
Early and Middle Childhood,early and middle childhood
Busine,busine
GURU,guru
Health and Wellness Innovation in Healthcare,health and wellness innovation in healthcare
Vet. Biosci.,vet. biosci.
Kine,kine
Visual Sci.,visual sci.
Kinesiology: Physical Education,kinesiology: physical education
HistArt,histart
"Soil, Water, and Climate","soil, water, and climate"
Geograp,geograp
Fdn Sc&Nu,fdn sc&nu
FRHD,frhd
Counselor Ed,counselor ed
Stage,stage
CBG,cbg
EnvEng,enveng
"Physical Education, Sport & Physical Activity","physical education, sport & physical activity"
SphHrng,sphhrng
Horticultural Science,horticultural science
JewshSt,jewshst
Inness Admin: Management & Human Rsrcs,inness admin: management & human rsrcs
Kinesiolo,kinesiolo
Nat Sec Pol S,nat sec pol s
Biomedical Research,biomedical research
Veterinary Public Health,veterinary public health
Lifetime Fitness,lifetime fitness
Crop Physiology,crop physiology
Cobol,cobol
Elec and Cptr Eng,elec and cptr eng
Anatomy and Medical Education,anatomy and medical education
Physical Activity and Educational Servic,physical activity and educational servic
Hper,hper
Islamic Spain and North Africa,islamic spain and north africa
Rhetoric of Social Intervention,rhetoric social intervention
Landscape/Horticulture,landscape/horticulture
Eastern Languages and Cultures,eastern languages and cultures
Historv,historv
MSAT,msat
"Agricultural, Environmental, and Development Econor","agricultural, environmental, and development econor"
GRC,grc
"Agricultural, Environmental, and Development Econo","agricultural, environmental, and development econo"
Li,li
Viddish,viddish
Housing and Consumer Economics,housing and consumer economics
Fm&hu dv,fm&hu dv
HPR,hpr
Hosp Mgt or Dietetcs or H Ec Edu Food Service,hosp mgt or dietetcs or h ec edu food service
Pint Bio,pint bio
Womens Std,womens std
Agric Sci,agric sci
Biomedical Writing and Editing,biomedical writing and editing
PlntPth,plntpth
CLLC,cllc
PubHHMP,pubhhmp
Second Language Acquisition,second language acquisition
"Agricultural, and Biological Engineering","agricultural, and biological engineering"
Accnt,accnt
"Government, and Public Policy","government, and public policy"
Kinesic,kinesic
Educati,educati
EdPAES,edpaes
Biomedicine,biomedicine
Environment and Natural Resources Administration,environment and natural resources administration
"Sport, Fitness, and Health","sport, fitness, and health"
CompStd,compstd
srcs,srcs
FAES,faes
Educatior,educatior
Kinesiol,kinesiol
Languages and Cultures of the Middle East,languages and cultures the middle east
Consumer Sciences: Hospitality Managem,consumer sciences: hospitality managem
"Drama, Language Arts, Literature and Reading Education","drama, language arts, literature and reading education"
"Industrial, Interior and Visual Communication Desig","industrial, interior and visual communication desig"
JCom,jcom
Near Eastern Languages and Literatures,near eastern languages and literatures
Arts Management,arts management
Consumer Sci,consumer sci
Medieval/Renaissance Studies,medieval/renaissance studies
Veterinary & Comparative Medicine,veterinary & comparative medicine
"Kinesiology:Sport Industry, Sport Management","kinesiology:sport industry, sport management"
Portgse,portgse
African Lang,african lang
EADMIN,eadmin
B A,b a
u G 5,u g 5
INDUSTRIAL AND SYSTEMS ENGINEERING,industrial and systems engineering
A. F. Aero. S.,a. f. aero. s.
ALLIED MEDICINE,allied medicine
Aralic,aralic
Geodesic Science,geodesic science
CFA,cfa
INDUSTRIAL DESIGN,industrial design
Ed: C & F,ed: c & f
Ed Excep,ed excep
Zooilogy,zooilogy
Dent. Hyg.,dent. hyg.
Family Resource Mgmt,family resource mgmt
SLAVIC LANGUAGES AND CULTURES,slavic languages and cultures
Medical History,medical history
AERONAUTICAL AND ASTRONAUTICAL ENGINE,aeronautical and astronautical engine
Med. Micro.,med. micro.
Thatre,thatre
AGRICULTURAL TECHNICAL INSTITUTE,agricultural technical institute
51,51
Agricultural  Education,agricultural  education
Physical Activity and Educational Service,physical activity and educational service
"Industrial, Interior and Visual Communication Des","industrial, interior and visual communication des"
Graduate Group in Architecture,graduate group in architecture
Bioethic,bioethic
Public Healt,public healt
"Molecular Virology, Immunology and Medical Gen","molecular virology, immunology and medical gen"
Vices,vices
Radlologic Technology,radlologic technology
Resp. Ther.,resp. ther.
Molec,molec
"Virology, Immunology and Medical Genetics","virology, immunology and medical genetics"
Dsgn,dsgn
Mechanical  Engineering,mechanical  engineering
Aeronautical and Astronautical Engineer,aeronautical and astronautical engineer
Education:  Humanities,education:  humanities
Ag Economics,ag economics
His,his
Administrative Aspects of Practice in Human Services Organizations,administrative aspects practice in human services organizations
Cinematography,cinematography
Hos,hos
Italian Literature,italian literature
"Industry, Risk and Pricing","industry, risk and pricing"
Ness Admin,ness admin
ComLdr,comldr
Management & Human Rs,management & human rs
Marketing & Logistics,marketing & logistics
MBOE,mboe
Sem,sem
MedTech,medtech
MICS,mics
PhysEd,physed
Fashion and Apparel,fashion and apparel
Fisheries and Wildlife,fisheries and wildlife
Politic Sci,politic sci
Civil and Envirnomental Engineering,civil and envirnomental engineering
Francophone Literature,francophone literature
Textile and Clothing,textile and clothing
PlntBio,plntbio
MICRBIOL,micrbiol
IntStds,intstds
ANIMSCI,animsci
Kines,kines
DNP,dnp
French and Francophone Studies,french and francophone studies
Arab and Middle Eastern Studies,arab and middle eastern studies
Architectur,architectur
P-987,p-987
P-982,p-982
P-953,p-953
Department of Printing,printing
College of Industries,college industries
Department of Management Engineering,management engineering
DEPARTMENT OF GENERAL SCIENCE,general science
DEPARTMENT OF METALLURGICAL ENGINEERING,metallurgical engineering
COLLEGE OF INDUSTRIES,college industries
DEPARTMENT OF ENGLISH,english
LAYOUT AND DESIGN,layout and design
In-,in-
DEPARTMENT OF PSYCHOLOGY AND EDUCATION,psychology and education
In,in
NIGHT COURSES,night courses
DRAWING AND DESCRIPTIVE GEOMETRY,drawing and descriptive geometry
CIT (English),cit (english)
Printing Management,printing management
Management Engineering,management engineering
"PAINTING, DESIGN AND SCULPTURE","painting, design and sculpture"
"Painting, Design and Sculpture","painting, design and sculpture"
Commercial Engineering,commercial engineering
Production Design,production design
PLUMBING,plumbing
Automotive Engineering,automotive engineering
QT,qt
General Subjects,general subjects
E-Engineering,e-engineering
Costume Economics,costume economics
Vocational Home Economics,vocational home economics
Margaret Morrison Carnegie College,margaret morrison carnegie college
DEPARTMENT OF ECONOMICS,economics
DEPARTMENT OF WORKS MANAGEMENT,works management
SECRETARIAL STUDIES,secretarial studies
FOUNDRY,foundry
An,an
Ind.,ind.
Works Management,works management
Industrial Science,industrial science
Metallurgy & Materials Science,metallurgy & materials science
Administration & Management Science,administration & management science
12,12
80,80
Engineering & Public Policy,engineering & public policy
Administration and Management Science,administration and management science
ADMINISTRATION AND MANAGEMENT SCIENCE,administration and management science
Undergraduate English,undergraduate english
COLLEGE OF HUMANITIES AND SOCIAL SCIENCES,college humanities and social sciences
Applied Industries,applied industries
CIT,cit
Cooking,cooking
Department of Modern Languages,modern languages
Laboratory,laboratory
Graduate Subjects,graduate subjects
ENGLISH DEPARTMENT,english department
DEPARTMENT OF MODERN LANGUAGES,modern languages
COSTUME ECONOMICS,costume economics
VOCATIONAL HOME ECONOMICS,vocational home economics
DIVISION OF GENERAL STUDIES,general studies
CARPENTRY,carpentry
MASONRY,masonry
E-,e-
DEPARTMENT OF PAINTING AND DECORATION,painting and decoration
M-CE,m-ce
English / History,english / history
Art / CFA,art / cfa
College of Humanities and Social Sciences,college humanities and social sciences
Social and Decision Sciences,social and decision sciences
Engineering and Public Policy,engineering and public policy
Counseling Psychology and Community Services,counseling psychology and community services
Elective Subjects,elective subjects
Department of Psychology and Education,psychology and education
Industries,industries
Machine Practice,machine practice
Industrial and Mechanical Arts,industrial and mechanical arts
STRUCTURES,structures
Not Available,not available
ELECTIVE SUBJECTS,elective subjects
Mechanical Drafting,mechanical drafting
DEPARTMENT OF DRAWING AND DESCRIPTIVE GEOMETRY,drawing and descriptive geometry
Biological Sciences/Chemical Engineering,biological sciences/chemical engineering
Textile Design,textile design
The Arts,the arts
Vocational,vocational
Print,print
SHOPS,shops
General Science,general science
E-Professional,e-professional
Library School,library school
Carnegie,carnegie
CARNEGIE,carnegie
GA,ga
GRAPHIC ARTS,graphic arts
Physics Department,physics department
Physical Education and Student Health,physical education and student health
Department of Costume Economics,costume economics
PURE MATHEMATICS,pure mathematics
Filing and Indexing,filing and indexing
Business Methods,business methods
Shorthand I,shorthand i
Shorthand III,shorthand iii
Shorthand II,shorthand ii
Anthropology and History,anthropology and history
88,88
33,33
09,09
Structural Design,structural design
39,39
EPP,epp
EBA,eba
70,70
CMU,cmu
Advanced PDP,advanced pdp
54,54
Department of Social and Decision Sciences,social and decision sciences
42,42
"Modern Languages, Literature and Cultures","modern languages, literature and cultures"
Social & Decision Sciences,social & decision sciences
PAPA,papa
Digital Art & Image,digital art & image
57,57
HCII,hcii
CFA Interdisciplinary,cfa interdisciplinary
ADMINISTRATION & MANAGEMENT SCIENCE,administration & management science
GENERAL SCIENCE,general science
18,18
DEPARTMENT OF HISTORY,history
ARTMENT OF ENGLISH,artment english
LIBRARY SCHOOL,library school
S-,s-
Department of Painting and Decoration,painting and decoration
C-400,c-400
MARGARET MORRISON CARNEGIE COLLEGE,margaret morrison carnegie college
Undergraduate Economics Program,undergraduate economics program
Analytical Techniques,analytical techniques
Speech and Theatre,speech and theatre
CIT Math,cit math
Department of Military Science and Tactics,military science and tactics
Department of Physical Education,physical education
PDM,pdm
History of Ideas,history ideas
Metallurgical Engineering & Materials Science,metallurgical engineering & materials science
Applied History,applied history
85,85
48,48
Metallurgical Engineering and Materials Science,metallurgical engineering and materials science
Drawing and Descriptive Geometry,drawing and descriptive geometry
15,15
Metallurgy and Materials Science,metallurgy and materials science
Human Expertise,human expertise
ETB,etb
MCS,mcs
Logic & Computation,logic & computation
Military Science-ROTC,military science-rotc
"ID, CD","id, cd"
Hu,hu
36,36
03,03
Military Science - Army ROTC,military science - army rotc
21,21
Naval Science - Navy ROTC,naval science - navy rotc
70-,70-
Humanities and Social Sciences,humanities and social sciences
Mathemalics,mathemalics
PDP,pdp
Cn,cn
Cial Engineering,cial engineering
HVAC,hvac
Graduate Engineering,graduate engineering
E-division,e-division
C-369,c-369
Automobile Maintenance,automobile maintenance
Photolithography,photolithography
Presswork,presswork
HISTORIES OF ART,histories art
Business and Social Studies,business and social studies
P-9,p-9
Drawings and Descriptive Geometry,drawings and descriptive geometry
BUSINESS AND SOCIAL STUDIES,business and social studies
Civil and Sanitary Engineering,civil and sanitary engineering
CIVIL AND SANITARY ENGINEERING,civil and sanitary engineering
Home Arts and Crafts,home arts and crafts
Secretarial Studies,secretarial studies
Stationary Engineering,stationary engineering
GE-,ge-
DEPARTMENT OF SOCIAL WORK,social work
278.,278.
WELDING,welding
ELECTRIC METER PRACTICE,electric meter practice
DEPARTMENT OF HOUSEHOLD ECONOMICS,household economics
School of Applied Industries,school applied industries
Manual and Industrial Arts,manual and industrial arts
Department of Social Sciences,social sciences
Department of Drawing and Descriptive Geometry,drawing and descriptive geometry
GE-Graduate Subjects,ge-graduate subjects
HISTORIES,histories
GC-,gc-
73,73
"Painting, Design, and Sculpture","painting, design, and sculpture"
APPLIED PSYCHOLOGY,applied psychology
H&SS Interdisciplinary,h&ss interdisciplinary
MODERN LANGUAGE,modern language
Short Coal Mining,short coal mining
Chemical Principles,chemical principles
SHEET METAL,sheet metal
Shorthand CG,shorthand cg
Undergraduate Subjects,undergraduate subjects
unspecified,unspecified
MEBA,meba
Sociology and Social Sciences,sociology and social sciences
Philosophy / Modern Languages,philosophy / modern languages
ed,education
Cookery,cookery
Arts and Crafts,arts and crafts
Plumbing,plumbing
Chemical Engineering/Chemistry,chemical engineering/chemistry
AVAL,aval
DIVISION OF APPLIED PSYCHOLOGY,applied psychology
MAI,mai
Metallurgical and Mining Engineering,metallurgical and mining engineering
METALLURGICAL AND MINING ENGINEERING,metallurgical and mining engineering
Department of Household Economics,household economics
E-chemistry,e-chemistry
Department of Administration and Management Science,administration and management science
I-,i-
24,24
MANAGEMENT ENGINEERING,management engineering
Masonry,masonry
Pipe Fitting,pipe fitting
Electric Equipment and Construction,electric equipment and construction
Electrical Equipment and Construction,electrical equipment and construction
DCR1,dcr1
DCR2,dcr2
DCR3,dcr3
Policy and Management,policy and management
DCR,dcr
DEPARTMENT OF PRINTING,printing
Department of Painting and Sculpture,painting and sculpture
Conflict,conflict
Undergraduate Mathematics,undergraduate mathematics
Chart and Diagram,chart and diagram
SUBJECTS OF INSTRUCTION,subjects instruction
SCHOOL OF APPLIED INDUSTRIES,school applied industries
CHEMISTRY (Day),chemistry (day)
DEPARTMENT OF THEORETICAL AND APPLIED MECHANICS (NIGHT),theoretical and applied mechanics (night)
H.A.&C.,h.a.&c.
commercial,commercial
H.A. and C.,h.a. and c.
Practical Sciences,practical sciences
Po. H.,po. h.
H.A. and C. (Home Arts and Crafts),h.a. and c. (home arts and crafts)
H. A. and C.,h. a. and c.
DEPARTMENT OF COSTUME ECONOMICS,costume economics
DEPARTMENT OF MANAGEMENT ENGINEERING,management engineering
Metal Working Industries,metal working industries
GRADUATE SUBJECTS,graduate subjects
70-000,70-000
ELECTRICAL MEASUREMENTS,electrical measurements
Carnegie Institute of Technology,carnegie institute technology
Draw,draw
M-,m-
In-128,in-128
In-124,in-124
Banks,banks
Automobile Maintenance and Operation,automobile maintenance and operation
Patternmaking,patternmaking
PAINTING AND DECORATION,painting and decoration
HEATING AND VENTILATING,heating and ventilating
In-graphics,in-graphics
C-Class,c-class
DEPARTMENT OF SECRETARIAL STUDIES,secretarial studies
Painting and Illustration,painting and illustration
HV,hv
Options,options
Statistics for Lab Sciences,statistics for lab sciences
Modern Language,modern language
Language Department,language department
406,406
BCSA,bcsa
NSC,nsc
"Painting, Design & Sculpture","painting, design & sculpture"
Building Equipment and Installation,building equipment and installation
Advanced Undergraduate,advanced undergraduate
Mineralogy and Geology,mineralogy and geology
IO,io
Information and Decision Systems,information and decision systems
OR LANG,or lang
HOUSEHOLD ECONOMICS,household economics
Millinery,millinery
Regional and City Planning,regional and city planning
BBI,bbi
C.F.A.,c.f.a.
DEPARTMENT OF PHYSICS,physics
DEPARTMENT OF MECHANICS,mechanics
International Affairs and Comparative Politics,international affairs and comparative politics
Cognitive Science Breadth Requirement,cognitive science breadth requirement
MISSED - BUSINESS ADMINISTRATION,missed - business administration
MMS,mms
CIT (Industrial Relations),cit (industrial relations)
Letters,letters
NG,ng
Theater or Drama,theater or drama
DEPARTMENT OF INDUSTRIAL ECONOMICS,industrial economics
DEPARTMENT OF INDUSTRIAL EDUCATION,industrial education
DEPARTMENT OF EDUCATION AND PSYCHOLOGY,education and psychology
drawings,drawings
Heating and Ventilating,heating and ventilating
Carnegie College,carnegie college
Introductory Psychology,introductory psychology
Machine Shop Practice,machine shop practice
A-,a-
Iron and Forging,iron and forging
Alloy Steels,alloy steels
Heat Treatment,heat treatment
L-,l-
DEPARTMENT OF INDUSTRIAL SCIENCE,industrial science
Department of Industrial Engineering,industrial engineering
In-274,in-274
In-285,in-285
Institute of Technology,institute technology
Sanitation,sanitation
Department of Works Management,works management
I-501,i-501
PDS,pds
Engineering (E),engineering (e)
PHYSICAL EDUCATION AND STUDENT HEALTH,physical education and student health
MARGARET MORRISON DIVISION,margaret morrison division
Applied Psychology,applied psychology
LIBRARY WORK,library work
"Social Relations, College of Engineering and Science, and Division of Hu-manistic and Social Studies","social relations, college engineering and science, and hu-manistic and social studies"
DIVISION OF INDUSTRIES,industries
"History, Political Science and Economics","history, political science and economics"
"DEPARTMENT OF HISTORY, POLITICAL SCIENCE AND ECONOMICS","history, political science and economics"
History and Economics,history and economics
EChem,echem
E-Process Metallurgy,e-process metallurgy
Hum/ Soc S,hum/ soc s
Ge Engineering,ge engineering
Economics and Business Law,economics and business law
Civics,civics
INDUSTRIES,industries
BUILDING CONSTRUCTION,building construction
Engineering Drawing and Descriptive Geometry,engineering drawing and descriptive geometry
Economics and Commercial Law,economics and commercial law
CIT - Engineering Department,cit - engineering department
ENCELL,encell
Structural Drafting,structural drafting
Building Estimating,building estimating
ECONOMI,economi
Lang.,lang.
Commercial Engr.,commercial engr.
COLLEGE OF ENGINEERING AND SCIENCE,college engineering and science
76,76
College of Engineering and Science,college engineering and science
PTM,ptm
Tech Direction,tech direction
82,82
InfoSys,infosys
H&SS Interdepartmental Minors,h&ss interdepartmental minors
CARNEGIE LIBRARY SCHOOL,carnegie library school
60,60
Not Provided,not provided
School of Drama,school drama
16:62 Design,16:62 design
Technical Design,technical design
H. John Heinz III School of Public Policy and Management,h. john heinz iii school public policy and management
Policy Studies,policy studies
79,79
Sci,sci
COURSES IN PLUMBING AND WELDING,courses in plumbing and welding
Department of Secretarial Studies,secretarial studies
History and Principles of Education,history and principles education
C-371,c-371
C-706,c-706
C-309,c-309
P-941,p-941
P-925,p-925
P-911,p-911
MACHINE PRACTICE C,machine practice c
Electrical Equipment,electrical equipment
Accouting,accouting
CIT - Engineering,cit - engineering
PAINTING AND DESIGN,painting and design
In-Foundry,in-foundry
C- Engineering,c- engineering
ELECTRICAL ENGINERING,electrical enginering
H&SS Interdepartmental Majors,h&ss interdepartmental majors
Health Administration & Policy,health administration & policy
ECSI,ecsi
SBUS,sbus
Environmental Science & Policy,environmental science & policy
Sociology & Anthropology,sociology & anthropology
"Criminology, Law and Society","criminology, law and society"
Global and Community Health,global and community health
"Civil, Environ & Infrastr Engr.","civil, environ & infrastr engr."
School of Integrative Studies,school integrative studies
Conflict Analysis & Resolution (CONF),conflict analysis & resolution (conf)
Info Sciences & Technology,info sciences & technology
Schar Public Policy/Admin,schar public policy/admin
Computer Game Design,computer game design
Conflict Analysis & Resolution,conflict analysis & resolution
Geography/Geoinformation Sci.,geography/geoinformation sci.
GCP,gcp
Electrical & Comp. Engineering,electrical & comp. engineering
Schar Govt/International Affrs,schar govt/international affrs
ARIN,arin
Systems Engr & Operations Rsch,systems engr & operations rsch
Computational & Data Sciences,computational & data sciences
VIT,vit
Geography/Geoinformation Sci,geography/geoinformation sci
New Century College,new century college
EMHS,emhs
Mathematical Sciences (MATH),mathematical sciences (math)
DESC,desc
STAM,stam
SWSE,swse
Finance (FNAN),finance (fnan)
Urban Systems Engineering,urban systems engineering
